id,name,dimension_name,dimension_power
acceleration,acceleration,length,-2
amount,amount,amount,
amountOfSubstanceConcentration,amountOfSubstanceConcentration,amount,-3
amountOfSubstanceWeight,amountOfSubstanceWeight,amount,-1
amountOfSubstanceWeightFlux,amountOfSubstanceWeightFlux,amount,-1
angle,angle,angle,
area,area,length,2
arealDensity,arealDensity,dimensionless,-2
arealMassDensity,arealMassDensity,mass,-2
arealMassDensityRate,arealMassDensityRate,mass,-2
capacitance,capacitance,mass,-1
catalyticActivity,catalyticActivity,time,-1
charge,charge,charge,
conductance,conductance,mass,-1
current,current,charge,-1
currentDensity,currentDensity,charge,-1
dimensionless,dimensionless,dimensionless,
doseEquivalent,doseEquivalent,time,-2
energy,energy,mass,2
force,force,mass,-2
frequency,frequency,time,-1
illuminance,illuminance,luminosity,-2
inductance,inductance,mass,2
length,length,length,
lengthReciprocal,lengthReciprocal,length,-1
luminance,luminance,luminosity,-2
luminosity,luminosity,luminosity,
magneticFieldStrength,magneticFieldStrength,charge,-1
magneticFlux,magneticFlux,mass,2
magneticFluxDensity,magneticFluxDensity,mass,-1
mass,mass,mass,
massDensity,massDensity,mass,-3
massFlux,massFlux,mass,-1
massPerMass,massPerMass,mass,-1
massSpecificCount,massSpecificCount,dimensionless,-1
massSpecificLength,massSpecificLength,length,-1
potentialDifference,potentialDifference,mass,2
power,power,mass,2
pressure,pressure,mass,-2
radionucleotideActivity,radionucleotideActivity,time,-1
resistance,resistance,mass,2
resistivity,resistivity,mass,3
specificArea,specificArea,mass,-1
specificEnergy,specificEnergy,time,-2
specificVolume,specificVolume,mass,-1
speed,speed,length,-1
temperature,temperature,temperature,
time,time,time,
transmissivity,transmissivity,length,2
volume,volume,length,3
volumePerVolume,volumePerVolume,length,3
volumetricArea,volumetricArea,length,3
volumetricDensity,volumetricDensity,dimensionless,-3
volumetricMassDensityRate,volumetricMassDensityRate,mass,-3
volumetricRate,volumetricRate,length,3
NULL,Null unit type,Null,0
timeReciprocal,timeReciprocal,time,-1
numberPerNumber,numberPerNumber,count,1
volumetricMassDensity,volumetricMassDensity,mass,
areaMassDensityRate,areaMassDensityRate,mass,
arealDensityRate,arealDensityRate,area,
massPerMassRate,massPerMassRate,mass,-1
massRate,massRate,mass,-1
massDensityRate,massDensityRate,mass,-1
amountOfSubstanceFlux,amountOfSubstanceFlux,amount,-1
