FileType,TypeName,FileFormat,Extension,Description,Delimiters,Header,EML_FormatType,RecordDelimiter,NumHeaderLines,NumFooterLines,AttributeOrientation,QuoteCharacter,FieldDelimiter,CharacterEncoding,CollapseDelimiters,LiteralCharacter,externallyDefinedFormat_formatName,externallyDefinedFormat_formatVersion
csvA,CSV type A,CSV,csv,"ascii text, comma separated values, one-line header, line ending is \r\n",single comma,not specified,,\r\n,1,0,column, ,",",utf8,no,,,
csv_A,CSV type A,comma separated values,csv,"CSV. unix line ending, no header, presume no footer, no quoted strings, no literal chars.",single comma,none,textFormat,\n,0,,column,,",",,no,,,
csv_B,CSV type B,comma separated values,csv,"CSV. unix line ending, 1-line header, no footer, no quoted strings, no literal chars.",single comma,column names,textFormat,\n,1,0,column,,",",,no,,,
csv_C,CSV type C,comma separated values,csv,"CSV. unix line ending, 1-line header, presume no footer, quoted strings possible, no literal chars.",single comma,column names,textFormat,\n,1,0,column, ,",",,no,,,
csv_D,CSV type D,comma separated values,csv,"CSV. unix line ending, 1-line header, presume no footer, no quoted strings, no literal chars.",single comma,column names,textFormat,\n,1,,column,,",",,no,,,
csv_E,CSV type E,comma separated values,csv,"CSV. microsoft line ending, 1-line header, presume no footer, quoted strings possible, no literal chars.",single comma,column names,textFormat,\r\n,1,,column, ,",",,no,,,
csv_F,CSV type F,comma separated values,csv,"CSV. microsoft line ending, 1-line header, presume no footer, no quoted strings, no literal chars.",single comma,column names,textFormat,\r\n,1,,column,,",",,no,,,
csv_G,CSV type G,comma separated values,csv,"CSV. unix line ending, 2-line header (table-specific), no footer, no quoted strings, no literal chars.",single comma,table-specific,textFormat,\n,2,0,column,,",",,no,,,
csv_H,CSV type H,comma separated values,csv,"CSV. unix line ending, 6-line header (table-specific), presume no footer, no quoted strings, no literal chars.",single comma,table-specific,textFormat,\n,6,,column,,",",,no,,,
csv_I,CSV type I,"comma-sep, mac line ending",csv,slash-r line ending. otherwise like other csv,single comma,column names,textFormat,\r,1,,column, ,",",,no,,,
ecogrid_A,Ecogrid type A,varies,1,"probably deprecate in favor of csv_D. CSV, unix line ending, 1-line header, presume no footer, no quoted strings, no literal chars.",single comma,column names,textFormat,\n,1,,column,,",",,no,,,
ecogrid_B,Ecogrid type B,gif,1,probably deprecate in favor of new type to be determined,not applicable,none,externallyDefinedFormat,,,,,,,,no,,,
ecogrid_C,Ecogrid type C,JPEG,1,probably deprecate in favor of jpg_A or jpg_B,not applicable,none,externallyDefinedFormat,,,,,,,,no,,,
gif_A,GIF type A,GIF image,gif,GIF image,not applicable,not applicable,externallyDefinedFormat,,,,,,,,no,,,
mov_A,"Movie, type A",MOV,mov,QuickTime movie,not applicable,none,externallyDefinedFormat,,,,,,,,no,,,
netcdf,NetCDF type,NetCDF file,nc,"self-describing, machine-independent data formats and it was developed at the Unidata Program Center in Boulder, Colorado.",not applicable,none,externallyDefinedFormat,,,,,,,,no,,,
png_A,PNG type A,PNG,png,PNG image,not applicable,none,externallyDefinedFormat,,,,,,,,no,,,
txt_A,TXT type A,text file,txt,"text file, unix line-ending, space-separated, collapse yes, hex code in EML, no header, presume no footer, quoted strings possible, literal chars possible.","space (hex code), collapse multiple.",none,textFormat,\n,0,,column, ,#x20,,yes,\,,
txt_B,TXT type B,text file,txt,"ODV format: text file, unix line-ending, semicolon-separated, 1-line header, presume no footer, quoted strings possible,  no literal chars.",single semicolon,column names,textFormat,\n,1,,column, ,;,,no,,,
txt_C,TXT type C,text file,txt,"txt, tab-delimited. microsoft line ending, 1-line header, presume no footer, no quoted strings, no literal chars.",tab,column names,textFormat,\r\n,1,,column,,\t,,no,,,
txt_D,TXT type D,"text file, moorings as of 2014",txt,"resembles txt_A, but has a one line header",single space,column names,textFormat,\n,1,,column,,#x20,,yes,\,,
txt_E,TXT type E,text file,txt,"text file, unix line-ending, tab-separated, collapse yes, 1-line header, presume no footer, quoted strings possible, literal chars possible.",tab,column names,textFormat,\n,1,,column, ,\t,,yes,\,,
txt_R,TXT type R,"text file, used for dataset 3, likely to be dropped",csv,"should deprecate in favor of one like txt_A, with a header. need to rename files.","single space, hex code",column names,textFormat,\n,1,,column,,#x20,,yes,,,
txt_S,TXT type S,text file,txt,"could deprecate in favor of csv_A. requires renamed files from txt to csv. but otherwise looks like csv_A: comma-delimited, unix line ending, no header presume no footer, no quoted strings, no literal chars. ",single comma,none,textFormat,\n,0,,column,,",",,no,,,
txt_T,TXT type T,text file,txt,"could deprecate in favor of a new csv type if file names converted from txt-extension to csv.  comma-delimited, collapse yes, hex code in EML, no header, presume no footer, quoted strings possible, literal chars possible.","comma, collapse multiple",column names,textFormat,\n,1,,column, ,",",,yes,\,,
txt_U,TXT type U,text file,txt,could deprecate in favor of csv_D. requires renamed files from txt to csv extension.  otherwise looks like csv_D,single comma,column names,textFormat,\n,1,,column,,",",,no,,,
txt_V,TXT type V,text file,txt,"could deprecate in favor of other ODV format: text file, unix line-ending, semicolon-separated, 1-line header, presume no footer, no quoted strings,  no literal chars.",single semicolon,column names,textFormat,\n,1,,column, ,;,,no,\,,
txt_X,TXT type X,text file,txt,"should deprecate when delimiter is known. text file used on cruises for adcp. sussed out delimiter, sussed out 1-line header, presume no footer, no quoted strings, no literal chars.",one comma plus one space. space should be ignored.,column names,textFormat,\n,1,,column,,",",,no,,,
txt_Y,TXT type Y,"text file, varies, likely to be dropped",txt,"should deprecate. sngl quote char, literal char appears wrong. text file, unix line-ending, space-separated, one or more (collapse yes), hex code in EML, no header, presume no footer, quoted strings possible, literal chars possible.","single space, hex code",none,textFormat,\n,0,,column,',#x20,,yes,/,DAP,4
R,R program code,R,R,text code for R program language,not applicable,none,externallyDefinedFormat,,,,column,,,,no,,R program code,
xml,XML,text file,xml,eXtensible Markup Language,not applicable,not applicable,externallyDefinedFormat,,,,column,,,,no,,XML document,
excel_A,"MS-Excel file, xlsx extension",MS-Excel,xlsx,"readable by several versions, eg available 2009 - 2015",not applicable,not applicable,externallyDefinedFormat,,,,column,,,,no,,Microsoft Excel,
